Title,Year,Director,Casting,Ratings,genre
Mandy,2018,Panos Cosmatos,"Nicolas Cage,Andrea Riseborough,Linus Roache,Ned Dennehy",90,horror
The Fly,1958,Kurt Neumann,"Patricia Owens,Vincent Price,Herbert Marshall,Kathleen Freeman",95,horror
House of Wax,1953,André De Toth,"Vincent Price,Carolyn Jones,Frank Lovejoy,Phyllis Kirk",95,horror
Cat People,1942,Jacques Tourneur,"Simone Simon,Kent Smith,Tom Conway,Jane Randolph",91,horror
A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,"Sheila Vand,Arash Marandi,Mozhan Marnò,Dominic Rains",96,horror
Drag Me to Hell,2009,Sam Raimi,"Alison Lohman,Justin Long,David Paymer,Reggie Lee",92,horror
Ready or Not,2019,Matt Bettinelli-Olpin,"Samara Weaving,Adam Brody,Mark O'Brien (IX) ,Henry Czerny",88,horror
Tigers Are Not Afraid (Vuelven),2019,Issa López,"Paola Lara,Juan Ramón López (II) ,Hanssel Casillas,Rodrigo Cortes (II) ",97,horror
The Wailing (Goksung),2016,Na Hong-jin,"Jung-min Hwang,Jun Kunimura,Chun Woo-hee,Han-Cheol Jo",99,horror
The Birds,1963,Alfred Hitchcock,"Rod Taylor,Tippi Hedren,Suzanne Pleshette,Jessica Tandy",95,horror
Under The Shadow,2016,Babak Anvari,"Narges Rashidi,Avin Manshadi,Bobby Naderi,Arash Marandi",99,horror
10 Cloverfield Lane,2016,Dan Trachtenberg,"Mary Elizabeth Winstead,John Goodman,John Gallagher Jr.,Bradley Cooper",90,horror
Peeping Tom,1960,Michael Powell,"Moira Shearer,Anna Massey,Maxine Audley,Esmond Knight",96,horror
It,2017,Andy Muschietti,"Jaeden Martell,Jeremy Ray Taylor,Sophia Lillis,Bill Skarsgård",86,horror
Don't Look Now,1973,Nicolas Roeg,"Julie Christie,Donald Sutherland,Hilary Mason,Clelia Matania",95,horror
Vampyr - Der Traum des Allan Grey,1932,Carl Theodor Dreyer,"Sybille Schmitz,Henriette Gerard,Rena Mandel,Julian West",97,horror
The Invisible Man,1933,James Whale,"Claude Rains,Gloria Stuart,Henry Travers,William Harrigan",94,horror
The Cabin in the Woods,2012,Drew Goddard,"Kristen Connolly,Chris Hemsworth,Anna Hutchison,Fran Kranz",92,horror
Host,2020,Rob Savage,"Haley Bishop,Jemma Moore,Alan Emrys,Seylan Baxter",100,horror
The Witch,2016,Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Harvey Scrimshaw",90,horror
Repulsion,1965,Roman Polanski,"Catherine Deneuve,Ian Hendry,John Fraser,Patrick Wymark",95,horror
Eyes Without a Face,1962,Georges Franju,"Pierre Brasseur,Edith Scob,Alida Valli,François Guérin",98,horror
Halloween,1978,John Carpenter,"Donald Pleasence,Jamie Lee Curtis,Nancy Kyes,P.J. Soles",96,horror
